nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Departamento Condominio Jardines De Huayquique,"Av. Proyectada 2120, Iquique, Huayquique, Iquique, Tarapacá",iquique,800000,2,2,65,12308
Departamento Amoblado Condominio Jardines De Huayquique,"Av. Proyectada 2120, Iquique, Huayquique, Iquique, Tarapacá",iquique,700000,1,1,48,14583
Departamento Amoblado Edificio Agua Marina I,"Av. Santiago Polanco 2030, Iquique, Playa Brava, Iquique, Tarapacá",iquique,600000,1,1,40,15000
"Se Arrienda Departamento 2 Dormitorios, Sector Sur - Iquique","Av. Francisco Bilbao, Iquique, Huayquique, Iquique, Tarapacá",iquique,850000,2,2,107,7944
Departamento En Arriendo De 2 Dorm. En Iquique,"SECTOR SUR, Cerro Dragón, Iquique, Tarapacá",iquique,600000,2,1,56,10714
Departamento En Arriendo De 3 Dorm. En Iquique,"PENÍNSULA DE CAVANCHA, Cavancha, Iquique, Tarapacá",iquique,1500000,3,3,145,10345
Amplio Departamento En Arriendo Primera Línea,"Cavancha, Iquique, Tarapacá",iquique,1350000,4,3,140,9643
Departamento Amoblado En Matiz Cavancha,"Cavancha, Iquique, Tarapacá",iquique,650000,1,1,45,14444
Arriendo Departamento Amoblado,"Cavancha, Iquique, Tarapacá",iquique,750000,2,2,57,13158
Departamento En Arriendo Sector Sur De Iquique,"Huayquique, Iquique, Tarapacá",iquique,1250000,4,3,120,10417
Arriendo Departamento Sector Cavancha Iquique,"Cavancha, Iquique, Tarapacá",iquique,1700000,3,4,176,9659
Arriendo Con Promesa Departamento  Barrio Parque,"Playa Brava, Iquique, Tarapacá",iquique,1800000,3,3,176,10227
Arriendo Departamento Sector Península Iquique,"Cavancha, Iquique, Tarapacá",iquique,902541,2,2,90,10028
Departamento En Arriendo,"Huayquique, Iquique, Tarapacá",iquique,1200000,3,2,130,9231
Arriendo Departamento Amoblado Sector Sur,"Cerro Dragón, Iquique, Tarapacá",iquique,990000,3,2,97,10206
Arriendo Departamento 2 Dormitorios Sector Sur Iquique,"Cerro Dragón, Iquique, Tarapacá",iquique,800000,2,2,73,10959
Se Arrienda Departamento Amoblado,"Playa Brava, Iquique, Tarapacá",iquique,650000,1,1,36,18056
Se Arrienda Amoblado Central,"Centro De Iquique, Iquique, Tarapacá",iquique,750000,2,2,60,12500
Arriendo Departamento Iquique Sector Península,"Cavancha, Iquique, Tarapacá",iquique,1300000,3,2,110,11818
Arriendo Departamento Amoblado Iquique,"Centro De Iquique, Iquique, Tarapacá",iquique,1100000,3,2,89,12360
Arriendo Departamento Amoblado Sector Sur,"Cerro Dragón, Iquique, Tarapacá",iquique,650000,1,53,40,16250
Arriendo Departamento Amoblado Sector Península,"Cavancha, Iquique, Tarapacá",iquique,1700000,3,3,130,13077
Departamento En Punta Cavancha,"Cavancha, Iquique, Tarapacá",iquique,750000,1,1,45,16667
Departamento Céntrico Con Vista Al Mar.,"Bernardo O'Higgins 195, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,490000,1,1,35,14000
Departamento Diario / Mes Amoblado Con Hermosa Vista Al Mar,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique,990000,2,2,90,11000
Bello Depto En Condominio Altos De Huayquique; 1d/1b + Est.,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique,600000,1,1,36,16667
"Arriendo Depto 2d 1b - C. Habitacional Altos Del Mar, Iqq","Av. La Tirana 4058, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,420000,2,1,45,9333
Departamento En Genaro Gallo/thompson,"Anturo Fernandez SN, Hospital Regional, Iquique, Tarapacá",iquique,620000,3,2,83,7470
Departamento 3 Dorm Iquique Incluye Gc,"Av. Proyectada 2620, Iquique, Huayquique, Iquique, Tarapacá",iquique,785000,3,2,81,9691
Arriendo Departamento Brisas Del Sur 1,"Avenida Proyectada SN, Cerro Dragón, Iquique, Tarapacá",iquique,850000,3,2,100,8500
Arriendo X Año Depto Amoblado 3 Dormitorios 2 Baños Iquique,"Juan Martínez 2002, Cavancha, Iquique, Tarapacá",iquique,850000,3,2,85,10000
Arriendo Departamento Full Amoblado,"Condominio Tres Mares-Edifico Báltico SN, Huayquique, Iquique, Tarapacá",iquique,690000,2,2,75,9200
Departamento Edificio Altos De Huayquique,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique,620000,1,1,45,13778
Departamento 3d 2b 1e,"Av Arturo Prat 1670, Cavancha, Iquique, Tarapacá",iquique,1500000,3,2,104,14423
Arriendo Apartamento Estudio Amoblado,"Céspedes Y González 969, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,500000,1,1,35,14286
Rebajado Departamento 1 Dormitorio A 2 Cuadras De Cavancha,"Tomás Bonilla B. 1035, Iquique, Cavancha, Iquique, Tarapacá",iquique,450000,1,1,29,15517
Arriendo Apartamento Estudio Amoblado,"Céspedes Y González 969, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,500000,1,1,35,14286
"Departamento 5to Piso Con Vista Al Mar, Cond. Pablo Neruda","Av. La Tirana 3441, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,450000,3,1,57,7895
Arriendo Departamento Nuevo Edif Paradise Iquique,"Isla San Felix SN, Cerro Dragón, Iquique, Tarapacá",iquique,800000,2,2,50,16000
"Se Arrienda Departamento Sector Sur, Iquique.","Los Algarrobos 4335, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,450000,3,1,58,7759
Condominio Carrara,"Av. Arturo Prat Chacón 3783, Iquique, Huayquique, Iquique, Tarapacá",iquique,1400000,5,3,160,8750
"Dpto Centro Norte. Vista Al Mar, Sin Comision Y Gc Incluido","Av. Edmundo Pérez Zujovic 5400 - 5700, Antofagasta, Hospital Regional, Antofagasta",antofagasta,590000,1,1,38,15526
Muy Buen Departamento Sector Av. Brasil Hermosa Vista Al Mar,"Av. Grecia 1532, Antofagasta, Parque Brasil, Antofagasta",antofagasta,730000,3,2,105,6952
Depto. Arriendo Amoblado Costanera Norte,"COSTANERA NORTE, La Chimba, Antofagasta",antofagasta,750000,2,2,75,10000
Depto. Arriendo Llacolen,"LLACOLEN COSTANERA SUR, Jardines Del Sur, Antofagasta",antofagasta,900000,3,2,86,10465
Arriendo Depto. Nuevo Llacolen,"ARRIENDO DEPTO. NUEVO LLACOLEN, Jardines Del Sur, Antofagasta",antofagasta,950000,2,2,50,19000
Depto. Amoblado Av. Argentiina,"DEPTO. AMOBLADO AV. ARGENTINA, Centro De Antofagasta, Antofagasta",antofagasta,1050000,3,3,125,8400
Arriendo Depto. Valle Del Mar,"DEPTO. ARRIENDO VALLE DEL MAR, Jardines Del Sur, Antofagasta",antofagasta,900000,2,2,83,10843
